V1,V2,V3,V4,V5,V6,avg.theta,true.theta
0,0,0,-1.080217,-1.208618,-1.486848,-1.258561,-1.7
0,0,-0.8361318,-1.021674,-1.110697,-1.322772,-1.0728187,-1.3
0.02232902,-0.01262994,-0.03228247,-0.05830431,-0.06439781,-0.1245654,-0.044975151666666664,-0.03
0.07396241,0.039990181,0.003881742,-0.02454378,-0.02944609,-0.05069841,0.002191008833333334,0.012
0.1273112,0.09075322,0.06889079,0.02958782,0.004247461,-0.1126466,0.0346906485,0.07
0.2039156,0.17475,0.1488729,0.1039887,0.06937735,0,0.14018091,0.18
0.3164847,0.2892954,0.2656929,0.2369992,0.2195473,0,0.2656039,0.304
0.3796649,0.3471875,0.3084062,0.2702077,0.262165,0,0.31352626,0.36
0.4783319,0.4432322,0.3889314,0.2972278,0.1225794,0,0.34606053999999997,0.46
0.6089161,0.566516,0.5489141,0.2598443,0,0,0.496047625,0.6
1.391322,1.148818,1.001995,0,0,0,1.1807116666666666,1.4
1.536291,1.205486,1.075224,0,0,0,1.2723336666666667,1.6
1.621503,1.237984,0,0,0,0,1.4297434999999998,1.8
1.730166,1.262784,0,0,0,0,1.496475,2.12
